t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
12667,25.0,-12.0,12.0,597,471,552,95
12700,25.0,-12.0,12.0,597,471,552,95
12733,25.0,-12.0,12.0,597,471,552,95
12767,25.0,-12.0,12.0,597,471,552,94
12800,25.0,-12.0,12.0,597,471,552,94
12833,25.0,-12.0,12.0,597,471,552,93
12867,25.0,-12.0,12.0,597,471,552,92
12900,25.0,-12.0,12.0,597,471,552,91
12933,25.0,-12.0,12.0,597,471,552,90
12967,25.0,-12.0,12.0,597,471,552,89
13000,25.0,-12.0,12.0,597,471,552,87
13033,25.0,-12.0,12.0,597,471,552,86
13067,25.0,-12.0,12.0,597,471,552,85
13100,25.0,-12.0,12.0,597,471,552,83
13133,25.0,-12.0,12.0,597,471,552,82
13167,25.0,-12.0,12.0,597,471,552,80
13200,25.0,-12.0,12.0,597,471,552,78
13233,25.0,-12.0,12.0,597,471,552,76
13267,25.0,-12.0,12.0,597,471,552,74
13300,25.0,-12.0,12.0,597,471,552,73
13333,25.0,-12.0,12.0,597,471,552,71
13367,25.0,-12.0,12.0,597,471,552,69
13400,25.0,-12.0,12.0,597,471,552,67
13433,25.0,-12.0,12.0,597,471,552,65
13467,25.0,-12.0,12.0,597,471,552,63
13500,25.0,-12.0,12.0,597,471,552,61
13533,25.0,-12.0,12.0,597,471,552,59
13567,25.0,-12.0,12.0,597,471,552,56
13600,25.0,-12.0,12.0,597,471,552,54
13633,25.0,-12.0,12.0,597,471,552,52
13667,25.0,-12.0,12.0,597,471,552,51
13700,25.0,-12.0,12.0,597,471,552,49
13733,25.0,-12.0,12.0,597,471,552,47
13767,25.0,-12.0,12.0,597,471,552,45
13800,25.0,-12.0,12.0,597,471,552,43
13833,25.0,-12.0,12.0,597,471,552,41
13867,25.0,-12.0,12.0,597,471,552,40
13900,25.0,-12.0,12.0,597,471,552,38
13933,25.0,-12.0,12.0,597,471,552,37
13967,25.0,-12.0,12.0,597,471,552,35
14000,25.0,-12.0,12.0,597,471,552,34
14033,25.0,-12.0,12.0,597,471,552,32
14067,25.0,-12.0,12.0,597,471,552,31
14100,25.0,-12.0,12.0,597,471,552,30
14133,25.0,-12.0,12.0,597,471,552,29
14167,25.0,-12.0,12.0,597,471,552,28
14200,25.0,-12.0,12.0,597,471,552,28
14233,25.0,-12.0,12.0,597,471,552,27
14267,25.0,-12.0,12.0,597,471,552,26
14300,25.0,-12.0,12.0,597,471,552,26
14333,25.0,-12.0,12.0,597,471,552,26
14367,25.0,-12.0,12.0,597,471,552,26
14400,25.0,-12.0,12.0,597,471,552,26
14433,25.0,-12.0,12.0,597,471,552,26
14467,25.0,-12.0,12.0,597,471,552,26
14500,25.0,-12.0,12.0,597,471,552,26
14533,25.0,-12.0,12.0,597,471,552,26
14567,25.0,-12.0,12.0,597,471,552,27
14600,25.0,-12.0,12.0,597,471,552,28
14633,25.0,-12.0,12.0,597,471,552,28
14667,25.0,-12.0,12.0,597,471,552,29
14700,25.0,-12.0,12.0,597,471,552,30
14733,25.0,-12.0,12.0,597,471,552,31
14767,25.0,-12.0,12.0,597,471,552,32
14800,25.0,-12.0,12.0,597,471,552,34
14833,25.0,-12.0,12.0,597,471,552,35
14867,25.0,-12.0,12.0,597,471,552,37
14900,25.0,-12.0,12.0,597,471,552,38
14933,25.0,-12.0,12.0,597,471,552,40
14967,25.0,-12.0,12.0,597,471,552,41
15000,25.0,-12.0,12.0,597,471,552,43
15033,25.0,-12.0,12.0,597,471,552,45
15067,25.0,-12.0,12.0,597,471,552,47
15100,25.0,-12.0,12.0,597,471,552,49
15133,25.0,-12.0,12.0,597,471,552,51
15167,25.0,-12.0,12.0,597,471,552,52
15200,25.0,-12.0,12.0,597,471,552,54
15233,25.0,-12.0,12.0,597,471,552,56
15267,25.0,-12.0,12.0,597,471,552,59
15300,25.0,-12.0,12.0,597,471,552,61
15333,25.0,-12.0,12.0,597,471,552,63
15367,25.0,-12.0,12.0,597,471,552,65
15400,25.0,-12.0,12.0,597,471,552,67
15433,25.0,-12.0,12.0,597,471,552,69
15467,25.0,-12.0,12.0,597,471,552,71
15500,25.0,-12.0,12.0,597,471,552,73
15533,25.0,-12.0,12.0,597,471,552,74
15567,25.0,-12.0,12.0,597,471,552,76
15600,25.0,-12.0,12.0,597,471,552,78
15633,25.0,-12.0,12.0,597,471,552,80
15667,25.0,-12.0,12.0,597,471,552,82
15700,25.0,-12.0,12.0,597,471,552,83
15733,25.0,-12.0,12.0,597,471,552,85
15767,25.0,-12.0,12.0,597,471,552,86
15800,25.0,-12.0,12.0,597,471,552,87
15833,25.0,-12.0,12.0,597,471,552,89
15867,25.0,-12.0,12.0,597,471,552,90
15900,25.0,-12.0,12.0,597,471,552,91
15933,25.0,-12.0,12.0,597,471,552,92
15967,25.0,-12.0,12.0,597,471,552,93
16000,25.0,-12.0,12.0,597,471,552,94
16033,25.0,-12.0,12.0,597,471,552,94
16067,25.0,-12.0,12.0,597,471,552,95
16100,25.0,-12.0,12.0,597,471,552,95
16133,25.0,-12.0,12.0,597,471,552,95
16167,25.0,-12.0,12.0,597,471,552,96
16200,25.0,-12.0,12.0,597,471,552,96
16233,25.0,-12.0,12.0,597,471,552,96
16267,25.0,-12.0,12.0,597,471,552,95
16300,25.0,-12.0,12.0,597,471,552,95
16333,25.0,-12.0,12.0,597,471,552,95
16367,25.0,-12.0,12.0,597,471,552,94
16400,25.0,-12.0,12.0,597,471,552,94
16433,25.0,-12.0,12.0,597,471,552,93
16467,25.0,-12.0,12.0,597,471,552,92
16500,25.0,-12.0,12.0,597,471,552,91
16533,25.0,-12.0,12.0,597,471,552,90
16567,25.0,-12.0,12.0,597,471,552,89
16600,25.0,-12.0,12.0,597,471,552,87
16633,25.0,-12.0,12.0,597,471,552,86
16667,25.0,-12.0,12.0,597,471,552,85
16700,25.0,-12.0,12.0,597,471,552,83
16733,25.0,-12.0,12.0,597,471,552,82
16767,25.0,-12.0,12.0,597,471,552,80
16800,25.0,-12.0,12.0,597,471,552,78
16833,25.0,-12.0,12.0,597,471,552,76
16867,25.0,-12.0,12.0,597,471,552,74
16900,25.0,-12.0,12.0,597,471,552,73
16933,25.0,-12.0,12.0,597,471,552,71
16967,25.0,-12.0,12.0,597,471,552,69
17000,25.0,-12.0,12.0,597,471,552,67
17033,25.0,-12.0,12.0,597,471,552,65
17067,25.0,-12.0,12.0,597,471,552,63
17100,25.0,-12.0,12.0,597,471,552,61
17133,25.0,-12.0,12.0,597,471,552,59
17167,25.0,-12.0,12.0,597,471,552,56
17200,25.0,-12.0,12.0,597,471,552,54
17233,25.0,-12.0,12.0,597,471,552,52
17267,25.0,-12.0,12.0,597,471,552,51
17300,25.0,-12.0,12.0,597,471,552,49
17333,25.0,-12.0,12.0,597,471,552,47
17367,25.0,-12.0,12.0,597,471,552,45
17400,25.0,-12.0,12.0,597,471,552,43
17433,25.0,-12.0,12.0,597,471,552,41
17467,25.0,-12.0,12.0,597,471,552,40
17500,25.0,-12.0,12.0,597,471,552,38
17533,25.0,-12.0,12.0,597,471,552,37
17567,25.0,-12.0,12.0,597,471,552,35
17600,25.0,-12.0,12.0,597,471,552,34
17633,25.0,-12.0,12.0,597,471,552,32
17667,25.0,-12.0,12.0,597,471,552,31
17700,25.0,-12.0,12.0,597,471,552,30
17733,25.0,-12.0,12.0,597,471,552,29
17767,25.0,-12.0,12.0,597,471,552,28
17800,25.0,-12.0,12.0,597,471,552,28
17833,25.0,-12.0,12.0,597,471,552,27
17867,25.0,-12.0,12.0,597,471,552,26
17900,25.0,-12.0,12.0,597,471,552,26
17933,25.0,-12.0,12.0,597,471,552,26
17967,25.0,-12.0,12.0,597,471,552,26
18000,25.0,-12.0,12.0,597,471,552,26
18033,25.0,-12.0,12.0,597,471,552,26
18067,25.0,-12.0,12.0,597,471,552,26
18100,25.0,-12.0,12.0,597,471,552,26
18133,25.0,-12.0,12.0,597,471,552,26
18167,25.0,-12.0,12.0,597,471,552,27
18200,25.0,-12.0,12.0,597,471,552,28
18233,25.0,-12.0,12.0,597,471,552,28
18267,25.0,-12.0,12.0,597,471,552,29
18300,25.0,-12.0,12.0,597,471,552,30
18333,25.0,-12.0,12.0,597,471,552,31
18367,25.0,-12.0,12.0,597,471,552,32
18400,25.0,-12.0,12.0,597,471,552,34
18433,25.0,-12.0,12.0,597,471,552,35
18467,25.0,-12.0,12.0,597,471,552,37
18500,25.0,-12.0,12.0,597,471,552,38
18533,25.0,-12.0,12.0,597,471,552,40
18567,25.0,-12.0,12.0,597,471,552,41
18600,25.0,-12.0,12.0,597,471,552,43
18633,25.0,-12.0,12.0,597,471,552,45
18667,25.0,-12.0,12.0,597,471,552,47
18700,25.0,-12.0,12.0,597,471,552,49
18733,25.0,-12.0,12.0,597,471,552,51
18767,25.0,-12.0,12.0,597,471,552,52
18800,25.0,-12.0,12.0,597,471,552,54
18833,25.0,-12.0,12.0,597,471,552,56
18867,25.0,-12.0,12.0,597,471,552,59
18900,25.0,-12.0,12.0,597,471,552,61
18933,25.0,-12.0,12.0,597,471,552,63
18967,25.0,-12.0,12.0,597,471,552,65
19000,25.0,-12.0,12.0,597,471,552,67
19033,25.0,-12.0,12.0,597,471,552,69
19067,25.0,-12.0,12.0,597,471,552,71
